a,Estimated Internet users per 100 inhabitants,c,d,e,f,g,h,i,j,k,l,Metadata for estimated Internet users per 100 inhabitants,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff
Moldova,1.28284641670022,1.48781295215565,3.78724279887342,7.40754458415897,10.629390841654,14.6302704551796,19.6206477051634,20.45,23.39,37.0,,,,,,,,,,,,,National Regulatory Agency for Electronic Communications and Information Technology,,National Regulatory Agency for Electronic Communications and Information Technology,,National Regulatory Agency for Electronic Communications and Information Technology,Based on RCC data.,National Regulatory Agency for Electronic Communications and Information Technology,Population age 16-74.,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .
Monaco,42.1848634460346,46.6461423640265,48.0471171729696,49.4911689195459,52.4901966838546,55.4648260561427,61.4760397135217,64.3776824034335,67.2474400122268,70.0963062294283,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Mongolia,1.25565200358112,1.65323823906982,2.0395726034818,5.74773713038186,7.94455337309847,10.5224599417049,12.0104203957085,12.2537146944632,12.4942450749958,,,,,,,,,,,,,,,,,,Communications Regulatory Commission.,,ITU estimate.,,
Montenegro,,,,,25.3500686036232,28.8175671889584,32.1847145135361,37.040556188108,40.9741236358027,44.8564832837509,,,,,,,,,,,Agency for Telecommunications and Postal Services.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,CEMI and Agency for Telecommunications (survey).,,ITU estimate.
Montserrat,,,,,,,25.9112109172569,20.4255319148936,20.3217612193057,20.2565833896016,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Morocco,0.693791244805455,1.37143810096418,2.37325319241544,3.35336668122363,11.6079347729582,15.0844445240204,19.7711915653115,21.5,33.1,41.3,,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,Using Internet at least once during the last month.,Agence nationale de réglementation des télécommunications.,Using Internet at least once during the last month.,Agence nationale de réglementation des télécommunications.,Using Internet at least once during the last month.,Agence nationale de réglementation des télécommunications.,Using Internet at least once during the last month.,Agence Nationale de Réglementation des Télécommunications,Using Internet at least once during the last month.,Agence Nationale de Réglementation des Télécommunications,,Agence Nationale de Réglementation des Télécommunications
Mozambique,0.109592530041641,0.160031946644069,0.259612611253739,0.419538843913707,0.679447835392438,0.854357118107528,0.842954488044236,0.91,1.56,2.68,,,Telecomunicaçoes de Moçambique (TDM).,,Telecomunicaçoes de Moçambique (TDM).,,Telecomunicaçoes de Moçambique (TDM).,,Instituto Nacional das Comunicações de Moçambique (INCM).,,Instituto Nacional das Comunicações de Moçambique (INCM).,,ITU estimate.,,Instituto Nacional das Comunicações de Moçambique (INCM).,,INCM,,INCM,,INCM
Myanmar,,0.000289277380848561,0.00042649350636189,0.0240641491408465,0.024337392002823,0.0652388555011476,0.18204833106115,0.217128445069958,0.219629478180092,0.21991302439885,,,,,,,,,,,,,,,"Ministry of Communications, Posts and Telegraphs.",,"Ministry of Communications, Posts and Telegraphs.",,"Ministry of Communications, Posts and Telegraphs.",,"Ministry of Communications, Posts and Telegraphs"
Namibia,1.64473954726899,2.41697944170998,2.63369976876116,3.35983988553801,3.8047156152631,4.01004664442375,4.39887064732726,4.83561077833704,5.32900377208954,5.87249906385456,,,Telecom Namibia.,,Telecom Namibia.,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,ITU estimate.,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,ITU estimate.
Nauru,,2.98715523250025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0.204651683653029,0.240015303375743,0.312956060108532,0.382810917017044,0.449843651215974,0.82655126590551,1.14138916388191,1.41,1.73,1.97,,,Nepal Telecom.,Data as at 31st December 2001.,Nepal Telecom.,,Nepal Telecom.,,Nepal Telecommunications Authority (NTA).,,Nepal Telecommunications Authority (NTA).,,Nepal Telecommunications Authority (NTA).,,Nepal Telecommunications Authority (NTA).,,Nepal Telecommunications Authority,,Nepal Telecommunications Authority,,Nepal Telecommunications Authority
Neth. Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,43.984351373138,49.3730621073123,61.29,65.63,69.89,81.0,83.7,85.82,87.42,89.63,,,"KPN, Libertel.",,Independent Post and Telecommunications Authority (OPTA).,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,ITU estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
New Caledonia,13.9395488232698,18.2371097828416,22.389797417113,26.4083344703588,30.2980462088488,32.3590147531561,33.5157146807209,35.05,34.51,33.99,,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et Télécommunications de Nouvelle-Calédonie,,Office des Postes et Télécommunications de Nouvelle-Calédonie,,Office des Postes et Télécommunications de Nouvelle-Calédonie
New Zealand,47.3795565432096,53.2410152941279,59.0807532812931,60.9625398663824,61.8476278106481,62.7202123689541,69.0,69.76,72.03,79.7,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,Population age 15+.,Statistics New Zealand.,Estimated based on survey's results. Population age 15+.,ITU estimate.,Estimated based on survey's results. Population age 15+.,ITU estimate.,Population age 15+.,Statistics New Zealand.
Nicaragua,0.980216486692385,1.44879942820716,1.71472958428668,1.88041253242301,2.32066460863941,2.56635117656203,2.8055730627337,3.04,3.26,3.48,,,,,,,,,,,,,,,,,TELCOR,,TELCOR,,TELCOR
Niger,0.0362612938065891,0.10518543139701,0.127152468779619,0.155698703668983,0.189933733703092,0.221341351487395,0.294033977096223,0.390390619762082,0.7,0.758006715717135,,,,,,,,,,,,,,,,,ITU estimate.,,Institut National de la Statistique (INS).,,ITU estimate.
Nigeria,0.0640808079494101,0.089901370457273,0.320461975542327,0.558576244860521,1.28613764134527,3.54915571796492,5.54503608300536,6.77,15.86,28.43,,,Nigerian Telecommunications Plc (NITEL).,,Nigerian Telecommunications Plc (NITEL).,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,,NCC estimate.,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission,,Nigerian Communications Commission,,Nigerian Communications Commission
Niue,26.5111346765642,32.6619488296135,39.1498881431767,43.1282346175963,47.3372781065089,51.7031630170316,56.25,61.014771997431,65.9195781147001,74.4752877454299,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Northern Marianas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,26.7620525691459,29.2507926246501,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,,,ITU estimate.,,ITU estimate.,,ITU estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Oman,3.52042141651097,5.89384152148671,6.87339603918545,7.25574294536556,6.75885217024525,6.68358142020519,8.299716672503,16.68,20.0,51.5,,"Based on the number of Internet subscribers, a multiplier of 3.54 was used to estimate the proportion of Internet users. ",,"Based on the number of Internet subscribers, a multiplier of 3.54 was used to estimate the proportion of Internet users. ",,"Based on the number of Internet subscribers, a multiplier of 3.54 was used to estimate the proportion of Internet users. ",,"Based on the number of Internet subscribers, a multiplier of 3.54 was used to estimate the proportion of Internet users. ",,"Based on the number of Internet subscribers, a multiplier of 3.54 was used to estimate the proportion of Internet users. ",,"Based on the number of Internet subscribers, a multiplier of 3.54 was used to estimate the proportion of Internet users. ",,"Based on the number of Internet subscribers, a multiplier of 3.54 was used to estimate the proportion of Internet users. ",,Excludes mobile Internet users. ,Telecommunications Regulatory Authority,Excludes mobile Internet users. ,Telecommunications Regulatory Authority,Estimated based on actual fixed internet subscribers multiplied by a factor of 5.8 and the number of mobile internet users. ,Telecommunications Regulatory Authority
Pakistan,,1.31855077925626,2.57742673683831,5.04115812592502,6.16432098534156,6.33232909830782,7.08091013770364,10.1052361603507,10.4548052192083,11.3,,,,,,,,,,,,,,,,,Pakistan Telecommunication Authority.,,Pakistan Telecommunication Authority.,,PAKISTAN TELECOMMUNICATION AUTHORITY
Palau,,,20.243939470621,21.6015271777354,26.9703326341025,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestinian Authority,1.11130620708969,1.83685483917877,3.10009223512517,4.13061635632919,4.40090482603223,16.005,18.41,21.176,24.358,32.23,,,,,,,,,,,,Population age 10+.,ITU estimate. ,Population age 10+.,Palestinian Central Bureau of Statistics,Population age 10+.,ITU estimate. ,Population age 10+.,ITU estimate.,Population age 10+.,Palestinian Central Bureau of Statistics
Panama,6.55479647729549,7.26839987788729,8.51807781515595,9.98742407723405,11.1408625409415,11.4840092783071,17.3495661695931,22.29,27.55,27.79,,,,,,,,,,,,,,,,,Autoridad Nacional de los Servicios Públicos,,Autoridad Nacional de los Servicios Públicos,,Autoridad Nacional de los Servicios Públicos
Papua New Guinea,0.835249302427624,0.904103545170821,1.3216569348661,1.37440466802801,1.5079127722725,1.71619047556782,1.754487260668,1.79055936140245,1.8245894445676,1.85675947344678,,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Paraguay,0.747630711548184,1.09879383569333,1.79496959770244,2.11194208210034,3.45243843137079,7.90700786141285,7.96207388394416,11.21,14.27,17.4,,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,Population age 10+.,"Dirección General de Estadística, Encuestas y Censos",Estimated based on Survey's results. Population age 10+.,ITU estimate.,Population age 10+.,"Dirección General de Estadística, Encuestas y Censos",Population age 10+.,"Dirección General de Estadística, Encuestas y Censos",Estimated based on Survey's results (2006 and 2008). Population age 10+.,ITU estimate.
Peru,3.07643061137675,7.57876295717419,8.96694917040028,11.6,14.1,17.1,20.7,25.2,30.57,31.4,,,ITU estimate.,,Maximixe estimate.,,Maximixe estimate.,,Instituto Nacional de Estadística e Informática,Estimated based on Survey's results (2003 and 2008).,ITU estimate based on INEI.,Estimated based on Survey's results (2003 and 2008).,ITU estimate based on INEI.,Estimated based on Survey's results (2003 and 2008).,ITU estimate based on INEI.,Estimated based on Survey's results (2003 and 2008).,ITU estimate based on INEI.,Population age 6+.,Instituto Nacional de Estadística e Informática,Population age 6+.,Ministerio de Transportes y Comunicaciones
Philippines,1.98225319605827,2.52400566008269,4.33227574643007,4.85767226708512,5.2436284521711,5.3976363293955,5.74058632534702,5.97,6.22,9.0,,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,ITU estimate.,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).
Poland,7.2854287080601,9.9006697073534,21.15,24.87,32.53,38.81,44.58,48.6,53.13,58.97,,,Office of Electronic Communications.,,Office of Electronic Communications.,,Office of Electronic Communications.,,Office of Electronic Communications.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Portugal,16.4304676923534,18.0871365595338,19.37,29.67,31.78,34.99,38.01,42.09,44.13,48.27,,,EuroBarometer. ITU estimate. UMIC.,,EuroBarometer. ITU estimate. UMIC.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74,Eurostat.,Population age 16-74,Eurostat.,Population age 16-74,Eurostat.,Population age 16-74,Eurostat.,Population age 16-74,Eurostat.,Population age 16-74,Eurostat.,Population age 16-74,Eurostat.
Puerto Rico,10.4746482089399,15.6300309162012,17.5476475654777,19.7070256578252,22.1307382347014,23.4000504486583,25.4424182102582,27.86,25.22,25.12,,,Puerto Rico Telephone Company (PRTC).,,Puerto Rico Telephone Company (PRTC).,,Puerto Rico Telephone Company (PRTC).,,Puerto Rico Telephone Company (PRTC).,,Puerto Rico Telephone Company (PRTC).,,ITU estimate.,,Puerto Rico Telephone Company (PRTC).,,Instituto de Estadísticas de Puerto Rico,,Instituto de Estadísticas de Puerto Rico,,Instituto de Estadísticas de Puerto Rico
Qatar,4.86367917875156,6.17026856093911,10.2261289281118,19.242336421002,20.701647851169,24.733493781051,28.9741127135829,37.0,39.0,40.0,,,,,,,,,,,,,,,,,ictQATAR,,ictQATAR,,ictQATAR
Romania,3.61371729139783,4.53866902895312,6.58,8.9,15.0,21.5,24.66,28.3,32.42,36.6,,,Rom-Telecom.,,Rom-Telecom.,,National Regulatory Authority for Communications.,,ITU estimate based on Eurostat.,,Eurostat.,Estimated based on Survey's results. Population age 16-74.,ITU estimate based on Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Russia,1.97723010897647,2.94436778664985,4.12827181796644,8.29886061553908,12.8593889008473,15.2266731976522,18.0232774617216,24.66,26.83,29.0,,,,,,,,,,,,,,,,,Ministry of Telecom and Mass Communications of the Russian Federation,,ITU estimate.,Population less than 74.,State Committee on Statistics.
Rwanda,0.0628314595107164,0.240672409832383,0.292784718792575,0.356918467272361,0.43085424337006,0.556041164839515,,2.11538717825754,3.08619940098927,4.50107395624596,,,,,,,,,,,,,ITU estimate.,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
S. Tomé & Principe,4.6385168164075,6.31091788794615,7.580665168911,10.1618443069961,13.3228526892178,13.759484215906,14.1820197774712,14.5904831987414,15.4831620612584,16.4050259592639,,,Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).,,Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).,,Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).,,ITU estimate.,,ITU estimate.
Samoa,0.566392532680849,1.68990283058724,2.24483267578443,2.79963044878076,3.07552941044897,3.35259211246829,4.46917387320954,4.74998323535329,5.03161531623702,5.03226239334399,,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,ITU estimate.,,ITU estimate.,,
San Marino,48.7994953055999,50.3416690898517,50.8348399446985,50.003453038674,50.5663430420712,50.2595641966736,50.2086593635889,50.3648221088655,54.5151359671626,54.2126411123158,,,,,,,,,,,,,,,Direzione Generale Poste e Telecomunicazioni.,,Direzione Generale Poste e Telecomunicazioni.,,Direzione Generale Poste e Telecomunicazioni.,,
Saudi Arabia,2.21069180908888,4.6810531658103,6.38470501955932,8.00158289090878,10.2345329969583,12.7050359882849,19.4595543513634,30.0,36.0,38.0,,,Saudi Telecommunications Company.,,Saudi Telecommunications Company.,,Saudi Telecommunications Company.,,Saudi Telecommunications Company.,,Saudi Telecommunications Company.,,Communication and Information Technology Commission.,,Communication and Information Technology Commission.,,CITC Market Studies Department.,,CITC Market Studies Department. ,,CITC
Senegal,0.403967485868965,0.983794058848003,1.00645453672323,2.10143642986685,4.38602398008563,4.78668408310535,5.61173865217952,7.7,10.6,14.5,,,Société Nationale des Télécommunications du Sénégal (SONATEL).,,Société Nationale des Télécommunications du Sénégal (SONATEL).,,Société Nationale des Télécommunications du Sénégal (SONATEL).,,Société Nationale des Télécommunications du Sénégal (SONATEL).,,Agence de Régulation des Télécommunications.,,Agence de Régulation des Télécommunications.,,Agence de Régulation des Télécommunications.,,ITU estimate.,,ITU estimate.,Population age 12+.,ARTP and ANSD.
Serbia,,,,,23.5,26.3,27.2,33.15,37.2,41.7,,,,,,,,,,Population age 16-74.,ITU estimate. ,Population age 16-74.,ITU estimate. ,Population age 16-74.,Statistical Office of the Republic of Serbia.,Population age 16-74.,Eurostat.,Estimated based on survey's results. Population age 16-74.,ITU estimate. ,Population age 16-74.,Eurostat.
Seychelles,7.39562918315276,11.0151029300174,14.3041708309972,14.5925043169492,24.2721392249906,25.4132681462836,34.95197117065,38.38,40.44,,,,ITU estimate.,Data at 31st December 2001.,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,MInistry of National Development,,MInistry of National Development,,
Sierra Leone,0.118254245682183,0.160264445493032,0.176198956814076,0.190173281668183,0.203007680592588,0.215391610340129,0.227669467190838,0.239834698546233,0.250006609886988,0.261565449907495,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Singapore,36.0,41.6704251756041,47.0,53.8379432881911,,61.0,62.75,64.54,66.38,68.29,,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,Infocomm Development Authority of Singapore,,,Population age 7+.,Infocomm Development Authority of Singapore.,Estimated based on survey's results. Population age 7+.,ITU estimate.,Estimated based on survey's results. Population age 7+.,ITU estimate.,Estimated based on survey's results. Population age 7+.,ITU estimate.,Population age 7+.,Infocomm Development Authority of Singapore.
Slovak Republic,9.42680320061637,12.5283218484637,40.14,43.04,52.89,55.19,56.08,61.8,71.31,75.17,,,"Ministry of Transport, Posts and Telecommunications.",,"Ministry of Transport, Posts and Telecommunications.",,"Ministry of Transport, Posts and Telecommunications.",,"Ministry of Transport, Posts and Telecommunications.",Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Slovenia,15.1102595640388,30.1759104700854,27.8388854180687,31.8547930120441,40.81,46.81,54.01,56.74,57.68,64.28,,,Ministry of Transport and Communications.,,"Telecommunications, Broadcasting and Post Agency.",,"Telecommunications, Broadcasting and Post Agency.",,"Telecommunications, Broadcasting and Post Agency.",Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Solomon Islands,0.481296806114395,0.468551963584141,0.501919843401009,0.555609881855115,0.64967267325146,0.844307572805697,1.64634798857435,1.80635838150289,1.95820409186327,1.91142458474301,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,
Somalia,0.202861812156454,0.0790391786670095,0.115614213354469,0.376198002539086,1.05345474358422,1.07732783912096,1.10021636808277,1.12223562161375,1.14268737216185,1.16061054246061,,,Ministry of Posts and Telecommunications.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,ITU estimate.,,ITU estimate.
South Africa,5.34855973203537,6.34661931839768,6.71032243705404,7.00769172611251,8.4251186825406,7.48854252992921,7.60713967477381,8.06537517355504,8.43003817295241,8.82122506127542,,,"Media Africa, Internet Solutions, W2003-2004.",,"Media Africa, Internet Solutions, W2003-2004.",,"Media Africa, Internet Solutions, W2003-2004.",,"Media Africa, Internet Solutions, W2003-2004.",,"Media Africa, Internet Solutions, W2003-2004.",,"Media Africa, Internet Solutions, W2003-2004.",,"Media Africa, Internet Solutions, W2003-2004.",,World Wide Worx.,,Independent Communications Authority of South Africa (ICASA).,,ITU estimate.
Spain,13.6249608089899,18.1487226902932,20.39,39.93,44.01,47.88,50.37,55.11,59.59,62.62,,At November of year indicated. Population age 14+.,red.es. Spanish Internet Users Association.,At November of year indicated. Population age 14+.,red.es. Spanish Internet Users Association.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,ITU estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Sri Lanka,0.647410010940963,0.793821864362622,1.05042270585318,1.45858022842408,1.44615998041486,1.79204679392588,2.53756612897332,3.88,5.8,8.78,,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,ITU estimate.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka,,Telecommunications Regulatory Commission of Sri Lanka,,Telecommunications Regulatory Commission of Sri Lanka
St. Helena,5.92183181997631,7.98881565807869,10.1255569056298,12.3380629241209,14.6229371213704,15.9100551548579,17.2265288544358,18.57,18.82,19.07,,,Cable & Wireless plc. (C&W).,Data at 31st December.,Cable & Wireless plc. (C&W).,,Cable & Wireless plc. (C&W).,,Cable & Wireless plc. (C&W).,,Cable & Wireless plc. (C&W).,,Cable & Wireless plc. (C&W).,,Cable & Wireless plc. (C&W).,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd
St. Kitts and Nevis,5.86281024037522,7.71472655580319,21.152381758186,22.9697842928439,24.7376775443732,26.4561032195043,28.1271346486117,29.7518694091279,31.3326152942328,32.8724741370976,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
St. Lucia,5.09048334139327,8.18186395448366,14.6418357746777,20.9824734633424,21.395212362765,21.5675829464215,24.5,27.9,32.0,36.0,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
St. Vincent and the G.,3.24503741064558,5.09480977832946,5.54959487957379,6.46227416659743,7.37116584201749,9.19827808234299,32.1478433389669,52.29,60.49,69.59,,"Estimation based on GPRS subscribers, fixed and mobile.",Cable and Wireless (W.I.) Ltd.  (C&W).,"Estimation based on GPRS subscribers, fixed and mobile.",Cable and Wireless (W.I.) Ltd.  (C&W).,"Estimation based on GPRS subscribers, fixed and mobile.",National Telecommunications Regulatory Commission.,"Estimation based on GPRS subscribers, fixed and mobile.",National Telecommunications Regulatory Commission.,"Estimation based on GPRS subscribers, fixed and mobile.",National Telecommunications Regulatory Commission.,"Estimation based on GPRS subscribers, fixed and mobile.",National Telecommunications Regulatory Commission.,"Estimation based on GPRS subscribers, fixed and mobile.",National Telecommunications Regulatory Commission.,"Estimation based on GPRS subscribers, fixed and mobile.",NTRC SVG,"Estimation based on GPRS subscribers, fixed and mobile.",NTRC SVG,,NTRC SVG
Sudan,0.0257850324762484,0.140185224494161,0.439477639075583,0.538471703150458,0.791561615446385,1.29204067798853,8.09203373417138,8.66,10.16,,,,,,,,,,,,,,,,NTC.  ,,NTC,,NTC,,
Suriname,2.50641105226881,3.06444838873752,4.1615687449541,4.71987539528956,6.0760478144456,6.40308628759062,9.49962694173364,14.11,21.06,31.36,,,Telecommunicatiebedrijf Suriname (TELESUR).,,Telecommunicatiebedrijf Suriname (TELESUR).,,Telecommunicatiebedrijf Suriname (TELESUR).,,Telecommunicatiebedrijf Suriname (TELESUR).,,Telecommunicatiebedrijf Suriname (TELESUR).,,Telecommunicatiebedrijf Suriname (TELESUR).,,ITU estimate.,,Telecommunications Authority Suriname (TAS),,Telecommunications Authority Suriname (TAS),,Telecommunications Authority Suriname (TAS)
Swaziland,0.926191777269402,1.28159005046719,1.81620380712642,2.43707385055863,3.22868507316111,3.69696107291824,3.69653878906882,4.1,6.85,7.6,,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,ITU estimate.,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation,,Swaziland Posts and Telecommunications Corporation,,Swaziland Posts and Telecommunications Corporation
Sweden,45.6876522122282,51.7656649372808,70.57,79.13,83.89,84.83,87.76,82.01,89.12,90.8,,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Switzerland,52.1,56.8,63.2,66.7,68.0,64.84,64.1,75.59,77.22,81.3,,"Use of the Internet within the last 6 months (""cercle large des utilisateurs"")",Office fédéral de la statistique.,"Use of the Internet within the last 6 months (""cercle large des utilisateurs"")",Office fédéral de la statistique.,"Use of the Internet within the last 6 months (""cercle large des utilisateurs"")",Office fédéral de la statistique.,"Use of the Internet within the last 6 months (""cercle large des utilisateurs"")",Office fédéral de la statistique.,"Use of the Internet within the last 6 months (""cercle large des utilisateurs"")",Office fédéral de la statistique.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Syria,0.181698580104333,0.353759130007247,2.09310101861765,3.39797261356623,4.32159377785571,5.64810604883917,7.83255156888787,16.6,18.4,20.4,,,,,,,,,,,,,,,,,Syrian telecom,,Syrian telecom,,Syrian telecom
"Taiwan, Province of China",28.1011454493741,34.9020386361105,47.6004912086511,51.936451018618,53.8143344638898,58.0149319279754,63.6842105263158,64.45,65.84,69.9,,,Directorate General of Telecommunications (DGT).,,Directorate General of Telecommunications (DGT).,,Directorate General of Telecommunications (DGT).,,Directorate General of Telecommunications (DGT).,,Directorate General of Telecommunications (DGT).,,Directorate General of Telecommunications (DGT).,,Directorate General of Telecommunications (DGT).,,National Communications Commission,,National Communications Commission,,National Communications Commission
Tajikistan,0.048599594582182,0.0512591325352927,0.0554628269910006,0.0645837771508553,0.0774799071356825,0.298690023682825,3.77240620666448,7.19761951797855,8.77695604339503,10.0687219037709,,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Tajiktelecom.,,Tajiktelecom.,,RCC.,,Tajiktelecom.,,Tajiktelecom.,,Tajiktelecom.,,
Tanzania,0.11719444010825,0.171300350668948,0.222484413923909,0.676962856510303,0.87757497099259,0.98525767919843,0.972150553815475,0.97,1.22,1.55,,,Tanzania Telecommunications Company Ltd (TTCL).,,Tanzania Telecommunications Company Ltd (TTCL).,,Tanzania Telecommunications Company Ltd (TTCL).,,Tanzania Telecommunications Company Ltd (TTCL).,,Tanzania Telecommunications Company Ltd (TTCL).,,ITU estimate.,,Tanzania Communications Regulatory Authority.,,TCRA,,TCRA,,TCRA
